,Equal Weight,Regime-Based (B),Bayesian Momentum (B),BayesianRiskParity (B),Rule-Based Regime (NB),Classical Momentum (NB),Inverse Vol (NB),SPY Only,GLD Only,BTC-USD Only,TLT Only,GSG Only
2015-02-10,0.995438409906541,0.9989188762155806,0.995438409906541,0.995438409906541,0.995438409906541,0.995438409906541,0.995438409906541,1.010596993787445,0.9941087445329179,0.998768056638993,0.9920143436477352,0.9817039109256139
2015-02-11,0.9901365998076651,0.9943549979089694,0.9901365998076651,0.9901365998076651,0.9901365998076651,0.9901365998076651,0.9901365998076651,1.0111831657118047,0.9822910478037764,0.9957923571848561,0.9938476601071001,0.9677720326423308
2015-02-12,0.9985876079854569,1.0007125463917552,0.9985876079854569,0.9985876079854569,0.9985876079854569,0.9985876079854569,0.9985876079854569,1.0208610898243533,0.984553881362027,1.0074408140881879,0.9905537777922582,0.9894675922491766
2015-02-13,1.0144699951077778,1.0123039742461595,1.0144699951077778,1.0144699951077778,1.0144699951077778,1.0144699951077778,1.0144699951077778,1.0250548979019023,0.9899093373298787,1.0676727862853137,0.9803297338712074,1.0097626688025279
2015-02-17,1.0156096499434548,1.0103497932724783,1.0156096499434548,1.0156096499434548,1.0156096499434548,1.0156096499434548,1.0156096499434548,1.0266660291368055,0.9732405169909291,1.1041527027745457,0.9654576805726736,1.0116678347267238
2015-02-18,1.0077672124649173,1.0064906109146052,1.0077672124649173,1.0077672124649173,1.0077672124649173,1.0077672124649173,1.0077672124649173,1.0267635332558254,0.9760050011353393,1.0706346418672292,0.9711751336717304,0.994357568821835
2015-02-19,1.0088420071172866,1.0066418704786766,1.0088420071172866,1.0088420071172866,1.0088420071172866,1.0088420071172866,1.0088420071172866,1.0260303397549158,0.9726435715560555,1.088412733881881,0.9647314141497505,0.9938807621456095
2015-02-20,1.011140700847917,1.0089264638611966,1.011140700847917,1.011140700847917,1.011140700847917,1.011140700847917,1.011140700847917,1.0321689066702358,0.9670908506904856,1.104134519015202,0.9675568132505791,0.9876644531336133
2015-02-23,1.0068323303075484,1.00575423933884,1.0068323303075484,1.0068323303075484,1.0068323303075484,1.0068323303075484,1.0068323303075484,1.0320222766352363,0.9683484045397656,1.0817751922585368,0.9785805228542948,0.9742266927726472
2015-02-24,1.0092058361566836,1.006890003190055,1.0092058361566836,1.0092058361566836,1.0092058361566836,1.0092058361566836,1.0092058361566836,1.034949705051913,0.9669212296840838,1.0810640255837387,0.991341743756763,0.9723182710313062
2015-02-25,1.0143916534508572,1.0091881182615143,1.0143916534508572,1.0143916534508572,1.0143916534508572,1.0143916534508572,1.0143916534508572,1.034070066084935,0.9706053381102576,1.0753204968765258,0.9956139700025121,0.9953968910084152
2015-02-26,1.0088674703613119,1.0074204506274966,1.0088674703613119,1.0088674703613119,1.0088674703613119,1.0088674703613119,1.0088674703613119,1.0328475488352076,0.9737043323824731,1.070582565980516,0.9819118336585091,0.9843767623973039
2015-02-27,1.026395763044438,1.0197291436678346,1.026395763044438,1.026395763044438,1.026395763044438,1.026395763044438,1.026395763044438,1.0293238591236036,0.9744590777297429,1.1466170987275826,0.9901330736615528,0.9943320648261202
2015-03-02,1.0374493803042923,1.0324320788428816,1.0374493803042923,1.0374493803042923,1.0374493803042923,1.0374493803042923,1.0374493803042923,1.0358020297721622,0.9704240165768463,1.2412676606569348,0.9715161391091571,0.9823491284718594
2015-03-03,1.0415603835331966,1.034931137881804,1.0415603835331966,1.0415603835331966,1.0415603835331966,1.0415603835331966,1.0415603835331966,1.0315423420034726,0.9686607614632591,1.2681351635432625,0.9679873652720044,0.9899421954963893
2015-03-04,1.0340301076816962,1.0279432337761445,1.0340301076816962,1.0340301076816962,1.0340301076816962,1.0340301076816962,1.0340301076816962,1.027183931468186,0.9656360520701854,1.2287709968201153,0.9682938808628515,0.9918458838528095
2015-03-05,1.0348252019774475,1.0292275826776156,1.0348252019774475,1.0348252019774475,1.0348252019774475,1.0348252019774475,1.0348252019774475,1.0283073765280781,0.964712836539226,1.2425785059191945,0.9670677112868388,0.9856334264525441
2015-03-06,1.0164191477611568,1.0135341093265058,1.0164191477611568,1.0164191477611568,1.0164191477611568,1.0164191477611568,1.0164191477611568,1.0137424190847342,0.9380056940416475,1.2269356607985142,0.9454640323752929,0.9736513508460065
2015-03-09,1.0307412746353342,1.0265614580770748,1.0307412746353342,1.0307412746353342,1.0307412746353342,1.0307412746353342,1.0307412746353342,1.0179353338495998,0.938927654514511,1.3006354951545915,0.9541511717463732,0.9698331091096152
2015-03-10,1.0270016718474804,1.0219538075703782,1.0270016718474804,1.0270016718474804,1.0270016718474804,1.0270016718474804,1.0270016718474804,1.0012870565072112,0.9343042235619657,1.3102689992553453,0.9666238790631091,0.9530161432304463
2015-03-11,1.0306134795826256,1.0236814826904004,1.0306134795826256,1.0306134795826256,1.0306134795826256,1.0306134795826256,1.0306134795826256,0.9989391706086119,0.9286690430979235,1.3308499884029676,0.9736406802876347,0.9558694617160128
2015-03-12,1.0294345472404476,1.0209096420755253,1.0294345472404476,1.0294345472404476,1.0294345472404476,1.0294345472404476,1.0294345472404476,1.0115596261529787,0.9284174610535785,1.3217258201175963,0.9729511828660377,0.945815188687689
2015-03-13,1.0157515496949319,1.005178103395939,1.0157515496949319,1.0157515496949319,1.0157515496949319,1.0157515496949319,1.0157515496949319,1.0053374280995815,0.9297581030870253,1.2806040479900642,0.9699616344133968,0.9197420183205818
2015-03-16,1.0228141147184693,1.0118064531593534,1.0228141147184693,1.0228141147184693,1.0228141147184693,1.0228141147184693,1.0228141147184693,1.0186804768719735,0.9291709517751714,1.3039784791524827,0.9792555571918655,0.914490398208414
