,Equal Weight,Regime-Based (B),Bayesian Momentum (B),BayesianRiskParity (B),Rule-Based Regime (NB),Classical Momentum (NB),Inverse Vol (NB),SPY Only,GLD Only,BTC-USD Only,TLT Only,GSG Only
2024-01-03,99189.50977840816,99643.2235631362,98039.01760723007,99700.12184816987,99178.80593046479,97606.36045854515,99577.47714715365,99179.96221336468,99162.8244840108,95193.50464212448,100416.18083236781,101995.07672017305
2024-01-04,99390.01304553829,99477.2875573666,99033.2073796547,99495.98145225825,99096.64068121424,98840.59710831268,99420.71279136502,98859.9887264921,99262.39472961258,98107.12629116328,98878.72270141741,101692.4231820189
2024-01-05,99358.90549783695,99422.78451957244,98817.28388953833,99478.27917955918,99159.33538487987,98652.67281456893,99417.03102927071,98995.30687619493,99278.12214700827,98068.85638420987,97928.27726686411,102395.1346167588
2024-01-08,100529.69043128141,99748.18388924976,101791.33074798177,99621.14994674173,100013.78210448187,102081.40025731445,99934.97937918665,100398.5683181958,98499.08887754931,104113.76983592915,98889.7242906188,100463.09792651734
2024-01-09,100248.65273605134,99690.76178785705,100814.52590079361,99608.50985579829,99867.29456219252,100977.87026691379,99858.00411381148,100246.14653769473,98530.54020856865,102255.8161866833,98257.18450078902,101614.69119484532
2024-01-10,100273.55341114501,99464.06311231543,101305.02956353426,99430.32258130136,100104.94139947541,101573.66501553227,99821.06582141998,100811.46799467613,98304.83938560449,103331.7552336768,97798.46899813689,100805.81454665825
2024-01-11,100533.8381352154,99901.64243164516,101177.34336561034,99809.31223541648,100198.91846315947,101367.72145099631,100122.89392172454,100767.04322998364,98498.63389673267,102755.75911180749,98346.07056160676,101957.3190436618
2024-01-12,99158.59779272224,99545.71492430835,97631.30279595214,99756.51732894985,100069.89119064604,96941.53837648587,99864.077899576,100836.82347199143,99458.64270249971,94654.22493570276,98152.66581414946,102158.52216837343
2024-01-16,98536.19712227165,98819.49480256996,97362.22813704825,98976.83081895768,99499.38435923259,96824.31243346541,99089.31983949943,100465.95144160175,98510.4555757696,95318.45570897302,96408.51466308978,101400.47099823949
2024-01-17,98007.22257024533,98331.95329548909,96679.96741192476,98444.27331657565,98828.7717912325,96107.70793844193,98544.77804967611,99905.93571207867,97419.24781854158,94403.42590716227,96255.8766311294,101501.1189407862
2024-01-18,97670.52421417538,98303.99450735596,95318.11687349412,98715.37751978195,99352.011130965,94541.43804401555,98815.25624490643,100790.43367985911,98218.00545456805,91075.33640373967,95356.97806810297,102552.95837027856
2024-01-19,98181.99483729611,98657.96378648326,96002.18075363744,99178.1110579948,100177.8629452789,95241.49659002823,99362.21059943593,102039.14118110503,98511.1143587694,91858.50485526348,95661.47828494928,102452.21641468532
