Strategy,Total Return,Ann. Return,Ann. Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Final Value ($)
Equal Weight,231.6%,14.4%,17.2%,0.607,0.743,-33.9%,0.426,"$331,564"
Regime-Based (B),349.4%,18.4%,15.5%,0.931,1.208,-28.8%,0.639,"$449,362"
Bayesian Momentum (B),1537.3%,37.0%,34.7%,0.951,1.166,-51.4%,0.719,"$1,637,342"
BayesianRiskParity (B),106.1%,8.5%,10.0%,0.449,0.582,-24.0%,0.354,"$206,147"
Rule-Based Regime (NB),97.2%,7.9%,14.3%,0.275,0.317,-32.9%,0.241,"$197,166"
Classical Momentum (NB),1797.3%,39.3%,37.3%,0.945,1.150,-55.0%,0.714,"$1,897,250"
Inverse Vol (NB),78.8%,6.8%,10.4%,0.265,0.322,-25.4%,0.266,"$178,819"
SPY Only,134.1%,10.0%,18.2%,0.333,0.392,-35.7%,0.281,"$234,141"
GLD Only,46.8%,4.4%,13.9%,0.030,0.043,-23.9%,0.185,"$146,803"
BTC-USD Only,2136.1%,41.9%,69.4%,0.545,0.674,-88.1%,0.475,"$2,236,136"
TLT Only,-16.5%,-2.0%,15.4%,-0.391,-0.582,-51.1%,-0.039,"$83,457"
GSG Only,-25.4%,-3.2%,23.1%,-0.314,-0.399,-68.0%,-0.048,"$74,588"
