Strategy,Total Return,Ann. Return,Ann. Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Final Value ($)
Equal Weight,44.9%,20.5%,13.5%,1.226,1.903,-11.0%,1.871,"$144,881"
Regime-Based (B),37.8%,17.5%,10.4%,1.302,1.997,-8.2%,2.147,"$137,825"
Bayesian Momentum (B),54.9%,24.7%,18.0%,1.151,1.684,-10.5%,2.345,"$154,893"
BayesianRiskParity (B),34.8%,16.2%,9.1%,1.341,1.969,-7.5%,2.161,"$134,769"
Rule-Based Regime (NB),52.8%,23.8%,11.8%,1.673,2.201,-9.6%,2.480,"$152,763"
Classical Momentum (NB),62.8%,27.9%,21.3%,1.120,1.630,-12.7%,2.188,"$162,822"
Inverse Vol (NB),37.2%,17.3%,9.8%,1.356,1.948,-8.7%,1.993,"$137,172"
SPY Only,45.1%,20.6%,16.3%,1.020,1.264,-19.2%,1.074,"$145,080"
GLD Only,102.7%,42.8%,17.7%,2.196,2.907,-10.4%,4.109,"$202,670"
BTC-USD Only,55.9%,25.1%,48.6%,0.435,0.709,-32.9%,0.763,"$155,946"
TLT Only,-4.5%,-2.3%,13.1%,-0.478,-0.718,-15.4%,-0.148,"$95,534"
GSG Only,14.4%,7.0%,16.0%,0.189,0.280,-13.7%,0.513,"$114,422"
